30065	6375475	3102				22082	1		Caleta Las Lozas, Bahia Salado		
30066	93711000	3102				2668	1		Bahia Inglesa		
30067	93711000	3102				2690	1		Oeste Islote Copiapinos, Bahia Inglesa		
30070	4180745	3103					1		Tranque Lautaro		
30073	8400111	3102				133	1		Punta Arroyo, Bahia Inglesa		
30074	5143448	3102				124	1		Punta San Francisco		
30075	79928810	3102					1		Playa Blanca, Escorial		
30076	70055501	3102				5058	1		Oeste Punta Peligrosa, Puerto Caldera		
30080	79732410	3102				117	1		Sureste Punta Fernández, Bahia Inglesa		
30082	6917466	3102					1		Caleta Del Medio, Bahia Salado		
30083	8316495	3102					1		Punta Fernandez, Bahia Inglesa		
30085	96673340	3102				20222	1		Bahia Inglesa, Norte Punta Arroyo		
30086	79574190	3102					1		Bahia Inglesa		
30087	8204751	3102				183	1		Noreste Punta Arroyo,  Bahia Inglesa		
30088	8326840	3102					1		Bahia Inglesa		
30089	79732410	3102				21573	1		Bahia Inglesa, Sur Punta Fernandez		
30090	6033656	3301					1		Sector Sur		
30091	79510340	3201				144	1		Caleta Flamenco		
30092	12222725	3102				2814	1		Sur Punta Lagarto, Bahia Calderilla		
30094	3451294	3102				2667	1		Calderilla		
30095	79510340	3201					1		Caleta Flamenco		
30096	7367592	3102				127	1		Caleta Chascos, Bahia Salado		
30097	78022120	3304					1		Playa Larga, Bahia Huasco		
30100	4358465	3102				140	1		Punta Fernandez, Bahia Inglesa		
30101	8743074	3102					1		Bahia Inglesa		
30102	6549773	3102				2653	1		Este Punta Pescadores, Bahia Inglesa		
30103	78720130	3304				5056	1		Caleta Herradura De Carrizal		
30104	78720130	3304				5057	1		Caleta Herradura De Carrizal		
30105	78441580	3304				159	1		Puerto Carrizal Bajo		
30106	6924367	3102				2656	1		Bahia Inglesa		
30107	8265252	3102					1		Caleta Chascos, Bahia Salado		
30108	79732410	3102				21441	1		Este Punta Fernandez, Bahia Inglesa		
30109	5408285	3102					1		Caleta Chascos, Bahia Salado		
30110	7407473	3102					1		Punta Totoralillo, Bahia Totoralillo		
30111	3142502	5502					1		Playa Las Machas, Bahia Inglesa		
30112	93711000	3102				2686	1		Oeste Islote Copiapinos, Bahia Inglesa		
30113	5769160	3102				5097	1		Puerto Calderilla, Entre Punta Lagarto Y Punta Este		
30114	4240810	3102					1		Caleta Chascos, Bahia Salado		
30115	93711000	3102				2683	1		Noreste Punta Arroyo, Bahia Inglesa		
30116	8002361	3102					1		Punta Fernandez, Bahia Inglesa		
30117	10218912	3102				2817	1		Sureste Punta Pescadores, Bahia Inglesa		
30118	79686240	3102				2823	1		Sector 1, Bahia  Inglesa		
30119	96775140	3102				2661	1		Punta Frodden, Caleta Los Patos		
30120	3451294	3102					1		Puerto Calderilla		
30121	5769160	3102				5096	1		Puerto Calderilla, Suroeste Punta Lagarto		
30122	8316496	3102				2674	1		Rocas Negras, Bahia Inglesa		
30123	5044710	3102				2673	1		Sur Punta Este, Puerto Calderilla		
30124	7138850	3102				2680	1		Este Peninsula Caldereta, Puerto Calderilla		
30125	96673340	3102				2678	1		Norte Punta Arroyo, Bahia Inglesa		
30126	7608838	3102				91	1		Sur Punta Este, Puerto Calderilla		
30127	7608838	3102				90	1		Sureste Punta Ester, Puerto Calderilla		
30128	7216097	3201				5052	1		Puerto Calderilla, Este Punta Ester		
30129	79732410	3102				5054	1		Bahia Inglesa, Sureste Punta Fernandez		
30130	77875940	3102				22360	1		Punta Fuerte		
30131	7138850	3102				5084	1		Oeste Punta Ester, Puerto Calderilla		
30132	2999492	3102				5082	1		Sur Punta Ester, Puerto Calderilla		
30133	2999492	3102				5081	1		Este Peninsula Caldereta, Puerto Calderilla		
30134	93711000	3102				5351	1		Bahia Calderilla		
30135	74259900	3102				5085	1		Noreste Punta Arroyo, Bahia Inglesa		
30136	71236700	3102				23418	1		Sureste Punta Fernandez, Bahia Inglesa		
30137	71236700	3102				23419	1		Punta Fernandez Punta Ester, Bahia Inglesa		
30138	9205908	3102				5092	1		Suroeste Punta Ester, Puerto Calderilla		
30139	79866410	3102				5095	1		Norte Punta Lagarto, Puerto Calderilla		
30140	9882224	3102				5098	1		Bahia Inglesa, Suroeste Islotes Copiapinos		
30141	96845220	3102				5120	1		El Morro, Punta Fernandez		
30142	79732410	3102				7901	1		Bahia Inglesa, Sector El Morro		
30143	8447899	3102				5303	1		Noreste Punta Arroyo, Bahia Inglesa		
30144	74259900	3102				5355	1		Sureste Punta Pescadores, Bahia Inglesa		
30145	93711000	3102				6631	1		Oeste Punta Arrollo, Bahia Inglesa		
30146	79732410	3102				5357	1		Caleta Del Medio, Bahia Salada		
30147	10065845	3102				5354	1		Puerto Calderilla, Este Peninsula Caldereta		
30148	2999492	3102				5359	1		Bahia Calderilla		
30149	7449134	3102				5305	1		Oeste Punta Lagarto, Puerto Calderilla		
30150	78720130	3101				5360	1		Caleta Chasco De Bahia Salado		
30151	96775140	3102				5307	1		Caleta Los Patos		
30152	79784980	3102				21022	1		Bahia Inglesa, Norte Punta Fernandez		
30153	79959700	3102				7906	1		Noreste Punta Hardy, Bahia Salado		
30154	78720130	3101				20096	1		Caleta Chascos, Bahia Salado		
30155	76352550	3102				5310	1		Sur Punta Cabeza De Vaca		
30156	6409984	3102				20373	1		Puerto Caldera, Este Punta Calderillo		
30157	9365169	3102				5311	1		Este Peninsula Caldereta, Puerto Calderilla		
30158	96775140	3102				21074	1		Bahia Salado, Ensenada San Pedro		
30159	96775140	3101				21073	1		Caleta Chascos, Ensenada San Pedro		
30160	99524510	3102				5317	1		Punta Sin Nombre, Punta Froden		
30161	93711000	3102				20857	1		Bahia Inglesa, Oeste Punta Oeste		
30162	93711000	3102				21119	1		Caleta Mora, Noreste Islotes Ramadas		
30163	93711000	3102				21120	1		Oeste Punta Arroyo, Bahia Inglesa		
30164	96865860	3102				21194	1		Caleta De Las Losas, Bahia Salado		
30165	93711000	3102				21161	1		Caleta Mora, Sur Punta Lobos		
30166	93711000	3102				21215	1		Caleta Mora, Sur Punta Lobos		
30167	99524510	3201				21316	1		Caleta Flamenco, Noreste E Punta Patch		
30168	78367400	3102				21373	1		Oeste Punta Ester, Puerto Calderilla		
30169	79732410	3102				21653	1		Bahia Inglesa		
30170	79732410	3102				21655	1		Punta Fernandez, Bahia Inglesa		
30171	79732410	3102				21983	1		Norte Punta Weevil, Caleta Del Medio		
30172	6378647	3102				22019	1		Sur Punta Caldera		
30173	6378647	3102				22020	1		Oeste Peninsula Caldereta		
30174	8447899	3102				23028	1		Noroeste De Punta Arroyo		
30175	75985590	3201				23127	1		Falda Verde		
30176	79732410	3102				23586	1		Sureste Punta Fernandez		
30177	79732410	3102				23585	1		Sureste De Punta Fernandez		
30178	69251900	3302					1		*		
30179	10926155	3102				23622	1		Puerto Calderilla		
39001	3451294	3102					1		Punta Caldereta, Bahia Calderilla		
39002	79959700	3102					1		Bahia Salado		
39003	4129696	3102					1		Bahia Salado		
39004	78202960	3101					1		Caleta Chascos		
39007	8696461	3101					1		Caleta Chascos		
39008	7216097	3101					1		Caleta Chascos		
40001	3388410	4301				282	1		Localidad Barraza		
40002	89075100	4102				292	1		Bahia Tongoy		
40003	81518400	4102				5845	1		Coquimbo		
40004	81518400	4102				258	1		Bahia Tongoy		
40008	85720400	4102					1		Bahia Tongoy		
40011	76515665	4102				20918	1		Bahia Guanaqueros, Sector B		
40012	88875800	4102				3370	1		Punta Piedras,  Sector A		
40013	88875800	4102					1		Coquimbo (Hatchery)		
40014	96929960	4102				5815	1		Bahia Tongoy		
40015	7246350	4102				248	1		Punta De Piedras, Bahia Guanaqueros		
40019	89075100	4102				5850	1		Bahia Tongoy		
40025	79934310	4102				284	1		Bahia La Herradura De Guayacan		
40027	96929960	4102				3354	1		Bahia Tongoy, Sur Punta Errazuriz		
40028	4804651	4102					1		Bahia La Herradura, Guayacan		
40030	3104207	4102				2935	1		Bahia Tongoy		
40031	96929960	4102				3358	1		Bahia Tongoy		
40033	96929960	4102				7519	1		Bahia Tongoy, Sector 1		
40034	96535470	4102				7517	1		Bahia Tongoy, Sector 2		
40042	89636100	4102				204	1		Bahia Tongoy		
40043	89636100	4102				204	1		Bahia Tongoy (Hatchery)		
40044	96601250	4102				20664	1		Bahia Tongoy, Suroeste Peninsula Tongoy		
40045	3800300	4104					1		Bahia Cta. Totoralillo Norte		
40048	79641340	4102				232	1		Bahia Tongoy		
40052	96659880	4102				0	1		Punta Piedra, Guanaqueros		
40054	8306013	4102					1		Bahia Tongoy		
40055	77525970	4102				5840	1		Bahia Tongoy		
40056	7246350	4102					1		Bahia Guanaqueros		
40057	96929960	4102				21938	1		Bahia Tongoy		
40062	96540040	4102				279	1		Bahia La Herradura De Guayacan, Sur Puerto Guayacan		
40063	78258990	4102				212	1		Bahia Tongoy		
40064	4333850	4203					1		Choapa, Loc. Tunga Norte		
40065	78258990	4102				5816	1		Bahia Tongoy		
40069	76515665	4102				20865	1		Oeste De Punta Morrillos, Bahia Guanaqueros		
40071	79588920	4102					1		Bahia Tongoy		
40074	79641340	4102				7528	1		Bahia Tongoy		
40077	96929960	4102				3359	1		Bahia Tongoy		
40078	3638947	4102					1		Bahia Barnes		
40081	8807257	4101					1		San Ramon, Granja Avicola No 2		
40088	79641340	4102				231	1		Bahia Tongoy,		
