Aceite
Agar Agar
Ahumado
Alga Seca
Alginato
Apanado
Carragenina
Cocido (Semielaborado)
Colagar
Congelado
Congelado De Huevos
Congelado De Otros
Congelado Descabezado
Congelado Entero
Congelado Filete
Congelado Hg
Conserva De Ovas
Conserva De Pasta, Surtido
Conserva En Otros
Conserva En Tomate
Conservas
Conservas Al Aceite
Conservas Al Natural
Deshidratado
Embutidos Fresco Enfriados
Fresco Enfriado
Harina
Harina Prime
Marinados Fresco Enfriados
Pellet Humedo
Peptona
Salado Humedo
Seco Salado
Semiconserva
Sin Movimiento
Surimi
Vivos
