1010101	10101		
1010102	10101		
1010201	10102		
1010202	10102		
1010203	10102		
1010204	10102		
1010301	10103		
1010302	10103		
1010401	10104		
1010501	10105		
1010601	10106		
1010701	10107		
1010801	10108		
1010802	10108		
1010803	10108		
1010901	10109		
1020101	10201		
1020102	10201		
1020103	10201		
1020201	10202		
1020301	10203		
1020401	10204		
1020501	10205		
1020601	10206		
1020701	10207		
1020702	10207		
1020801	10208		
1020802	10208		
1020803	10208		
1020804	10208		
1020805	10208		
1020806	10208		
1020807	10208		
1020901	10209		
1020902	10209		
1020903	10209		
1020904	10209		
1020905	10209		
1020906	10209		
1020907	10209		
1021001	10210		
1021002	10210		
1021003	10210		
1021004	10210		
1021005	10210		
1021006	10210		
1021007	10210		
1021008	10210		
1030101	10301		
1030201	10302		
1030301	10303		
1030401	10304		
1030501	10305		
1030601	10306		
1030701	10307		
1040101	10401		
1040102	10401		
1040103	10401		
1040104	10401		
1040201	10402		
1040301	10403		
1040302	10403		
1040303	10403		
1040401	10404		
