135			101496		-41.78944444	-73.16138889	2
136			101496		-41.79277778	-73.16472222	3
137			101496		-41.79111111	-73.16194444	4
138			101608		-41.83167917	-73.98140083	1
139			101608		-41.83361333	-73.98223056	2
140			101608		-41.83473611	-73.98389	3
141			101608		-41.834745	-73.98083917	4
142			101608		-41.82335861	-73.98085417	5
143			101608		-41.82169417	-73.98196694	6
144			101664		-41.89916667	-73.51583333	1
145			101664		-41.89916667	-73.51333333	2
146			101664		-41.90055556	-73.51638889	4
147			101664		-41.90055556	-73.51388889	3
148			101733		-41.76833333	-73.15305556	1
149			101733		-41.76916667	-73.15306944	2
150			101733		-41.76972222	-73.14834722	3
151			101733		-41.76861111	-73.14833333	4
152			101761		-41.78445972	-73.15028778	1
153			101761		-41.78474917	-73.14807528	2
154			101761		-41.78196056	-73.14723028	3
155			101761		-41.78167139	-73.14919278	4
156			101774		-42.1086225	-73.43000389	1
157			101774		-42.10863861	-73.42944722	2
158			101774		-42.110285	-73.43002583	3
159			101774		-42.11250167	-73.43361556	4
160			101774		-42.1119675	-73.433905	5
161			101774		-42.11000667	-73.43057444	6
162			101774		-42.110285	-73.43002583	7
163			101774		-42.11083694	-73.43029556	8
164			101774		-42.11252222	-73.43334194	9
165			101774		-42.11250167	-73.43361556	10
166			101775		-42.34389694	-73.48973139	1
167			101775		-42.34336056	-73.48946444	2
168			101775		-42.34333972	-73.48945056	3
169			101775		-42.34333417	-73.48945056	4
170			101775		-42.34307806	-73.4889125	5
171			101775		-42.3430775	-73.48805806	6
172			101775		-42.34333389	-73.48640778	7
173			101775		-42.34334361	-73.48557389	8
174			101775		-42.34361139	-73.48502	9
175			101775		-42.34390806	-73.48501806	10
176			101776		-42.60778611	-73.78419278	1
177			101776		-42.60778389	-73.78222333	2
178			101776		-42.60556778	-73.7822275	3
179			101776		-42.60557	-73.78444694	4
180			101780		-41.80502167	-73.05780222	1
181			101780		-41.8058375	-73.05890139	2
182			101780		-41.80778944	-73.05641139	3
183			101780		-41.80722361	-73.0555625	4
184			101811		-41.81474611	-73.07862667	1
185			101811		-41.81613194	-73.07666778	2
186			101811		-41.81585528	-73.07613694	3
187			101811		-41.81446944	-73.07834583	4
188			101818		-42.34167306	-73.5294525	1
189			101818		-42.3414025	-73.52696194	2
190			101818		-42.34112194	-73.52722528	3
191			101818		-42.34057444	-73.52251639	4
192			101818		-42.34113611	-73.52250444	5
193			101818		-42.3422325	-73.52696639	6
194			101818		-42.34196694	-73.52722889	7
195			101818		-42.34223306	-73.52945806	8
196			101879		-42.16001028	-73.46612778	1
197			101879		-42.15974278	-73.46418556	2
198			101879		-42.1597375	-73.46028611	3
199			101879		-42.16084556	-73.46028361	4
200			101879		-42.16030361	-73.46224417	5
201			101879		-42.16055611	-73.46418778	6
202			101879		-42.16139083	-73.46612444	7
203			101913		-42.88168194	-73.48308139	1
204			101913		-42.88168111	-73.48139389	2
205			101913		-42.88250389	-73.48140139	3
206			101913		-42.88418139	-73.48197167	4
207			101913		-42.88529806	-73.48278778	5
208			101913		-42.88501722	-73.48416833	6
209			101913		-42.88335806	-73.48362972	7
210			101913		-42.88250444	-73.48307944	8
211			101921		-41.43000056	-72.29167083	1
212			101921		-41.43029139	-72.290025	2
213			101921		-41.43279444	-72.29140028	3
214			101921		-41.43250361	-72.29279611	4
215			101940		-42.88028528	-73.51890083	1
216			101940		-42.88027917	-73.51391111	2
217			101940		-42.88112389	-73.51390889	3
218			101940		-42.88113028	-73.51889833	4
219			101943		-41.77055556	-73.15055556	1
220			101943		-41.77138889	-73.14805556	2
221			101943		-41.7725	-73.14944444	3
222			101943		-41.77166667	-73.15194694	4
223			101944		-41.81446167	-73.10835722	1
224			101944		-41.81722639	-73.10362028	2
225			101944		-41.81641556	-73.10306111	3
226			101944		-41.81390083	-73.10779806	4
227			101945		-41.795305	-73.07778833	1
228			101945		-41.79667944	-73.07611444	2
229			101945		-41.79611417	-73.07528139	3
230			101945		-41.79473972	-73.07695528	4
231			101947		-42.6033475	-73.78280139	1
232			101947		-42.6033475	-73.78111833	2
233			101947		-42.60057722	-73.78111833	3
234			101947		-42.60057722	-73.78280111	4
235			101948		-41.62472222	-73.08638889	1
236			101948		-41.62472222	-73.0839	2
237			101948		-41.62695556	-73.0839	3
238			101948		-41.62695556	-73.08638889	4
239			101949		-42.88945194	-73.56973611	1
240			101949		-42.89000056	-73.5636275	2
241			101949		-42.89085806	-73.56389333	3
242			101949		-42.89055944	-73.57000194	4
243			101950		-42.34362528	-73.52944944	1
244			101950		-42.34250333	-73.52361528	2
245			101950		-42.34166667	-73.52389806	3
246			101950		-42.34278861	-73.5297325	4
247			101958		-42.59001028	-73.77612083	1
248			101958		-42.59000833	-73.77418833	2
249			101958		-42.59250583	-73.77419278	3
250			101958		-42.59222639	-73.77639667	4
251			101958		-42.59197083	-73.77834472	5
252			101958		-42.59111917	-73.77834556	6
253			101958		-42.59111667	-73.77611972	7
254			101966		-41.80611222	-73.09474	1
255			101966		-41.80696056	-73.09335361	2
256			101966		-41.80613278	-73.09250333	3
257			101966		-41.80528444	-73.09389	4
258			101967		-41.685285	-73.04779583	1
259			101967		-41.68528083	-73.04555583	2
260			101967		-41.68167083	-73.04556667	3
261			101967		-41.681675	-73.04805694	4
262			101969		-41.79056194	-73.09113333	1
263			101969		-41.79277778	-73.08472222	2
264			101969		-41.79113389	-73.08391222	3
265			101969		-41.78916806	-73.09029917	4
266			101972		-42.60528028	-73.78308083	1
267			101972		-42.60528056	-73.78083694	2
268			101972		-42.60389528	-73.78083694	3
269			101972		-42.60389528	-73.78308083	4
270			101986		-41.79639278	-73.06945806	1
271			101986		-41.79473861	-73.06833333	2
272			101986		-41.79891	-73.06363111	3
273			101986		-41.80056389	-73.06500583	4
274			101990		-42.34166944	-73.55861389	1
275			101990		-42.34223778	-73.55472667	2
276			101990		-42.34446361	-73.55501222	3
277			101990		-42.34446889	-73.55919389	4
278			102000		-42.6100125	-73.7805675	1
279			102000		-42.60919111	-73.77808194	2
280			102000		-42.60779611	-73.77890333	3
281			102000		-42.60834111	-73.78139389	4
282			102002		-42.88112833	-73.51028278	1
283			102002		-42.88085722	-73.50891389	2
284			102002		-42.88362417	-73.50807667	3
285			102002		-42.88389528	-73.50944583	4
286			102005		-42.69446389	-73.67195917	1
287			102005		-42.69501889	-73.67057917	2
288			102005		-42.69528694	-73.66779417	3
289			102005		-42.69669083	-73.66779083	4
290			102005		-42.69805556	-73.66861167	5
291			102005		-42.69752722	-73.66944444	6
292			102005		-42.695565	-73.67307444	7
293			102011		-42.88778639	-73.48806333	1
