148	101990	2017-07-03	2016-10-24
149	101990	2017-07-03	2016-11-22
150	103633	2016-08-31	2016-07-26
151	103633	2016-09-28	2016-07-26
152	103633	2016-09-28	2016-08-31
153	103633	2016-10-24	2016-07-26
154	103633	2016-10-24	2016-08-31
155	103633	2016-10-24	2016-09-28
156	103633	2016-11-22	2016-07-26
157	103633	2016-11-22	2016-08-31
158	103633	2016-11-22	2016-09-28
159	103633	2016-11-22	2016-10-24
160	103633	2016-12-26	2016-07-26
161	103633	2016-12-26	2016-08-31
162	103633	2016-12-26	2016-09-28
163	103633	2016-12-26	2016-10-24
164	103633	2016-12-26	2016-11-22
165	103633	2017-01-10	2016-07-26
166	103633	2017-01-10	2016-08-31
167	103633	2017-01-10	2016-09-28
168	103633	2017-01-10	2016-10-24
169	103633	2017-01-10	2016-11-22
170	103633	2017-01-10	2016-12-26
171	103633	2017-01-24	2016-07-26
172	103633	2017-01-24	2016-08-31
173	103633	2017-01-24	2016-09-28
174	103633	2017-01-24	2016-10-24
175	103633	2017-01-24	2016-11-22
176	103633	2017-01-24	2016-12-26
177	103633	2017-02-23	2016-07-26
178	103633	2017-02-23	2016-08-31
179	103633	2017-02-23	2016-09-28
180	103633	2017-02-23	2016-10-24
181	103633	2017-02-23	2016-11-22
182	103633	2017-02-23	2016-12-26
183	103633	2017-02-27	2016-07-26
184	103633	2017-02-27	2016-08-31
185	103633	2017-02-27	2016-09-28
186	103633	2017-02-27	2016-10-24
187	103633	2017-02-27	2016-11-22
188	103633	2017-02-27	2016-12-26
189	103633	2017-03-13	2016-07-26
190	103633	2017-03-13	2016-08-31
191	103633	2017-03-13	2016-09-28
192	103633	2017-03-13	2016-10-24
193	103633	2017-03-13	2016-11-22
194	103633	2017-03-13	2016-12-26
195	103633	2017-03-27	2016-07-26
196	103633	2017-03-27	2016-08-31
197	103633	2017-03-27	2016-09-28
198	103633	2017-03-27	2016-10-24
199	103633	2017-03-27	2016-11-22
200	103633	2017-03-27	2016-12-26
201	103633	2017-04-11	2016-07-26
202	103633	2017-04-11	2016-08-31
203	103633	2017-04-11	2016-09-28
204	103633	2017-04-11	2016-10-24
205	103633	2017-04-11	2016-11-22
206	103633	2017-04-11	2016-12-26
207	103633	2017-04-25	2016-07-26
208	103633	2017-04-25	2016-08-31
209	103633	2017-04-25	2016-09-28
210	103633	2017-04-25	2016-10-24
211	103633	2017-04-25	2016-11-22
212	103633	2017-04-25	2016-12-26
213	103633	2017-05-30	2016-07-26
214	103633	2017-05-30	2016-08-31
215	103633	2017-05-30	2016-09-28
216	103633	2017-05-30	2016-10-24
217	103633	2017-05-30	2016-11-22
218	103633	2017-05-30	2016-12-26
