1	1	0	3
2	1	1	65
3	1	2	32
4	2	0	3
5	2	1	54
6	2	2	15
7	2	3	31
8	3	1	47
9	3	2	20
10	3	3	33
11	4	1	20
12	4	2	20
13	4	3	60
14	5	1	7
15	5	2	53
16	5	3	40
17	6	1	53
18	6	2	40
19	6	3	7
20	7	1	6
21	7	2	27
22	7	3	67
23	8	1	20
24	8	2	20
25	8	3	60
26	9	2	67
27	9	3	33
28	10	2	67
29	10	3	33
30	11	2	87
31	11	3	13
32	12	1	34
33	12	2	13
34	12	3	53
35	13	1	13
36	13	2	33
37	13	3	54
38	14	0	12
39	14	1	46
40	14	2	43
41	15	1	57
42	15	2	17
43	15	3	26
44	16	1	80
45	16	3	20
46	17	1	60
47	17	2	7
48	17	3	33
49	18	1	7
50	18	2	53
51	18	3	40
52	19	1	40
53	19	2	33
54	19	3	27
55	20	3	100
56	21	1	7
57	21	3	93
58	22	1	7
59	22	2	36
60	22	3	57
61	23	1	7
62	23	2	47
63	23	3	46
64	24	2	80
65	24	3	20
66	25	1	46
67	25	2	7
68	25	3	47
69	26	1	6
70	26	2	27
71	26	3	67
72	27	0	27
73	27	1	37
74	27	2	36
75	28	1	63
76	28	2	26
77	28	3	11
78	29	2	86
79	29	3	13
80	30	1	33
81	30	2	27
82	30	3	40
83	31	1	5
84	31	2	54
85	31	3	41
86	32	2	36
87	32	3	64
88	33	1	4
89	33	2	21
90	33	3	75
91	34	1	20
92	34	2	53
93	34	3	27
94	35	2	67
95	35	3	33
96	36	2	80
97	36	3	20
98	37	2	87
99	37	3	13
100	38	1	40
101	38	2	7
102	38	3	53
103	39	1	27
104	39	2	9
105	39	3	64
