1	46	0	95
2	46	1	5
3	49	0	96
4	49	1	4
5	52	0	96
6	52	1	4
7	55	0	100
8	55	1	0
9	58	0	100
10	58	1	0
11	61	0	100
12	61	1	0
13	64	0	13
14	64	1	37
15	64	2	50
16	67	0	23
17	67	1	45
18	67	2	32
19	70	0	35
20	70	1	35
21	70	2	30
22	73	0	45
23	73	1	31
24	73	2	24
25	76	0	40
26	76	1	42
27	76	2	18
28	79	0	60
29	79	1	40
30	79	2	0
31	82	0	21.4
32	82	1	46.4
33	82	2	32.1
34	85	0	36.4
35	85	1	47.3
36	85	2	16.4
37	88	0	32.6
38	88	1	34.8
39	88	2	32.6
40	91	0	34.7
41	91	1	35
42	91	2	30.3
43	94	0	36.5
44	94	1	36.5
45	94	2	27.1
46	97	0	48.3
47	97	1	26.1
48	97	2	25.6
49	100	0	19.6
50	100	1	32.6
51	100	2	39.1
52	100	3	8.7
53	103	0	37.9
54	103	1	48.5
55	103	2	13.6
56	103	3	0
57	106	0	42
58	106	1	39.8
59	106	2	18.2
60	106	3	0
61	109	0	28.7
62	109	1	35.8
63	109	2	32.2
64	109	3	3.2
65	112	0	21.5
66	112	1	36.4
67	112	2	39.2
68	112	3	3
69	115	0	21.2
70	115	1	32.5
71	115	2	42.6
72	115	3	3.8
73	118	0	34.2
74	118	1	31.3
75	118	2	31.3
76	118	3	2.1
77	118	4	1.1
78	121	0	26.2
79	121	1	33.3
80	121	2	40.5
81	121	3	0
82	121	4	0
83	124	0	23.1
84	124	1	39.7
85	124	2	33.9
86	124	3	3.3
87	124	4	0
88	127	0	18.4
89	127	1	29.9
90	127	2	47
91	127	3	4.7
92	127	4	0
93	130	0	17.4
94	130	1	28.3
95	130	2	51
96	130	3	2
97	130	4	1.3
98	133	0	12.9
99	133	1	26
100	133	2	32.2
101	133	3	17.7
102	133	4	11.2
103	136	0	25.7
104	136	1	33.6
105	136	2	37.4
106	136	3	3.3
107	136	4	0
108	139	0	33.3
109	139	1	29.5
110	139	2	37.2
111	139	3	0
112	139	4	0
113	142	0	26.6
114	142	1	32.1
115	142	2	38.8
116	142	3	2.5
117	142	4	0
118	145	0	25.3
119	145	1	31.1
120	145	2	40
