1	1	1	0	0
2	2	1	0	0
3	3	1	0	0
4	1	2	0	0
5	2	2	0	0
6	3	2	0	0
7	1	3	0	0
8	2	3	0	0
9	3	3	0	0
10	1	4	1	100
11	2	4	0	0
12	3	4	0	0
13	1	5	1	100
14	2	5	0	0
15	3	5	0	0
16	1	6	0	0
17	2	6	0	0
18	3	6	0	0
19	1	7	1	100
20	2	7	0	0
21	3	7	0	0
22	1	8	0	0
23	2	8	0	0
24	3	8	0	0
25	1	9	0	0
26	2	9	0	0
27	3	9	0	0
28	1	10	0	0
29	2	10	0	0
30	3	10	0	0
31	1	11	75	96.1
32	2	11	2	2.6
33	3	11	1	1.3
34	1	12	23	92
35	2	12	2	8
36	3	12	0	0
37	1	13	2346	90.9
38	2	13	124	4.8
39	3	13	110	4.3
40	1	14	1896	93.4
41	2	14	74	3.6
42	3	14	60	3
43	1	15	2100	95
44	2	15	43	1.9
45	3	15	68	3.1
46	1	16	543	95.3
47	2	16	12	2.1
48	3	16	15	2.6
49	1	17	2300	93.3
50	2	17	75	3
51	3	17	92	3.7
52	1	18	5250	90.5
53	2	18	261	4.5
54	3	18	288	5
55	1	19	9665	93.4
56	2	19	398	3.8
57	3	19	294	2.8
58	1	20	12542	81.6
59	2	20	612	4
60	3	20	2217	14.4
61	1	21	2217	71.3
62	2	21	248	8
63	3	21	642	20.7
64	1	22	267	91.3
65	2	22	11	3.8
66	3	22	14	4.9
67	1	23	2183	91.8
68	2	23	55	2.3
69	3	23	140	5.9
70	1	24	4368	88.5
71	2	24	268	5.4
72	3	24	300	6.1
73	1	25	11200	93.1
74	2	25	475	3.9
75	3	25	356	3
76	1	26	12512	80.2
77	2	26	523	3.4
78	3	26	2564	16.4
79	1	27	8342	75.4
80	2	27	854	7.7
81	3	27	1864	16.9
82	1	28	867	59.1
83	2	28	300	20.4
84	3	28	300	20.4
85	1	29	1833	67.9
86	2	29	200	7.4
87	3	29	667	24.7
88	1	30	2967	61.8
89	2	30	600	12.5
90	3	30	1233	25.7
91	1	31	10067	68.6
92	2	31	1033	7
93	3	31	3567	24.3
94	1	32	10333	67
95	2	32	933	6
96	3	32	4167	27
97	1	33	6000	69.5
98	2	33	400	4.6
99	3	33	2233	25.9
100	1	34	1533	77.3
101	2	34	50	2.5
102	3	34	400	20.2
103	1	35	2200	71.7
104	2	35	400	13
105	3	35	467	15.2
106	1	36	5867	69.6
107	2	36	1600	19
108	3	36	967	11.5
109	1	37	16467	73.8
110	2	37	3750	16.8
111	3	37	2100	9.4
112	1	38	17933	69.3
113	2	38	4800	18.6
114	3	38	3133	12.1
115	1	39	14167	67.8
116	2	39	3100	14.8
117	3	39	3633	17.4
118	1	40	1600	68.6
119	2	40	433	18.6
120	3	40	300	12.8
121	1	41	1400	67.8
122	2	41	433	21
123	3	41	233	11.2
124	1	42	3967	66.1
125	2	42	1700	28.3
126	3	42	333	5.6
127	1	43	11033	73.6
128	2	43	2700	18
129	3	43	1267	8.4
130	1	44	30500	75.9
131	2	44	7066	17.6
132	3	44	2600	6.5
133	1	45	21133	73.5
134	2	45	4500	15.6
135	3	45	3133	10.9
136	1	46	1833	67.1
137	2	46	426	15.6
138	3	46	473	17.3
139	1	47	2033	67.2
140	2	47	517	17.1
141	3	47	475	15.7
142	1	48	4733	62.4
143	2	48	1805	23.8
144	3	48	1047	13.8
145	1	49	14433	74
146	2	49	3004	15.4
147	3	49	2067	10.6
148	1	50	22733	70.9
149	2	50	5547	17.3
150	3	50	3783	11.8
151	1	51	17100	72
152	2	51	3515	14.8
153	3	51	3135	13.2
154	1	52	1800	72
155	2	52	500	20
156	3	52	200	8
157	1	53	2700	73
158	2	53	650	17.5
159	3	53	350	9.5
160	1	54	4850	66.9
161	2	54	2000	27.6
162	3	54	400	5.5
163	1	55	18133	80.8
164	2	55	3350	14.9
165	3	55	950	4.3
166	1	56	24800	74.2
167	2	56	5600	16.8
168	3	56	3000	9
169	1	57	18100	69.6
170	2	57	4350	16.7
171	3	57	3550	13.7
172	1	58	1800	69
173	2	58	600	23
174	3	58	210	8
175	1	59	2500	72
176	2	59	600	17.3
177	3	59	370	10.7
178	1	60	4900	66.6
179	2	60	2050	27.9
180	3	60	410	5.6
181	1	61	20200	80.6
182	2	61	3850	15.7
183	3	61	1000	4
184	1	62	21400	75.8
185	2	62	4800	17
186	3	62	2050	7.3
187	1	63	18354	72.5
188	2	63	4100	16.2
189	3	63	2850	11.3
190	1	64	600	48
191	2	64	550	44
192	3	64	100	8
193	1	65	650	50
194	2	65	550	42.3
195	3	65	100	7.7
196	1	66	4800	66.2
197	2	66	2250	31
198	3	66	200	2.8
