1601751072017	160175	103419	1	2017-07-01 00:00:00.0000000	6			1
1601761072017	160176	103462	1	2017-07-01 00:00:00.0000000	6			1
1601792072017	160179	102057	2	2017-07-01 00:00:00.0000000	20			
1601812072017	160181	103561	2	2017-07-01 00:00:00.0000000	1.4			
1601832072017	160183	103838	2	2017-07-01 00:00:00.0000000	88			
1601842072017	160184	103838	2	2017-07-01 00:00:00.0000000	88			
1601882072017	160188	103561	2	2017-07-01 00:00:00.0000000	3.11			
1601892072017	160189	102057	2	2017-07-01 00:00:00.0000000	80			
1601902072017	160190	102057	2	2017-07-01 00:00:00.0000000	80			
1601912082017	160191	103561	2	2017-08-01 00:00:00.0000000	2.35			
1601921032017	160192	103682	1	2017-03-01 00:00:00.0000000	96.26			1
1601931062017	160193	103682	1	2017-06-01 00:00:00.0000000	62.85			1
1601941082017	160194	103682	1	2017-08-01 00:00:00.0000000	32.54			1
1601962042017	160196	103682	2	2017-04-01 00:00:00.0000000	8.75			
1601971052017	160197	103682	1	2017-05-01 00:00:00.0000000	87.45			1
1602001082017	160200	103713	1	2017-08-01 00:00:00.0000000	40			1
1602022062017	160202	102057	2	2017-06-01 00:00:00.0000000	10			
1602041082017	160204	103463	1	2017-08-01 00:00:00.0000000	16			1
1602132062017	160213	102057	2	2017-06-01 00:00:00.0000000	80			
1602441022017	160244	104080	1	2017-02-01 00:00:00.0000000	35			1
1602452092017	160245	103561	2	2017-09-01 00:00:00.0000000	5.15			
1602562102017	160256	103561	2	2017-10-01 00:00:00.0000000	1.8			
1602582102017	160258	103478	2	2017-10-01 00:00:00.0000000	1.5			
1602591102017	160259	103997	1	2017-10-01 00:00:00.0000000	3			1
1602602102017	160260	103561	2	2017-10-01 00:00:00.0000000	5.2			
1602602112017	160260	103561	2	2017-11-01 00:00:00.0000000	0.6			
1602641102017	160264	104088	1	2017-10-01 00:00:00.0000000	10			1
1602652102017	160265	102952	2	2017-10-01 00:00:00.0000000	40			
1602672112017	160267	103943	2	2017-11-01 00:00:00.0000000	44			
1602682112017	160268	103943	2	2017-11-01 00:00:00.0000000	80			
1602762112017	160276	103561	2	2017-11-01 00:00:00.0000000	4.48			
1602762122017	160276	103561	2	2017-12-01 00:00:00.0000000	0.3			
1602772102017	160277	103828	2	2017-10-01 00:00:00.0000000	0.9			
1602782102017	160278	103828	2	2017-10-01 00:00:00.0000000	0.24			
1602852112017	160285	103561	2	2017-11-01 00:00:00.0000000	3.03			
1602861112017	160286	104309	1	2017-11-01 00:00:00.0000000	50			1
1602872072017	160287	104106	2	2017-07-01 00:00:00.0000000	36			
1602882082017	160288	104106	2	2017-08-01 00:00:00.0000000	10			
1602892112017	160289	104106	2	2017-11-01 00:00:00.0000000	10			
1602911122017	160291	103943	1	2017-12-01 00:00:00.0000000	50			1
1602921122017	160292	104094	1	2017-12-01 00:00:00.0000000	25			1
1602942122017	160294	103561	2	2017-12-01 00:00:00.0000000	4.11			
1602952122017	160295	103651	2	2017-12-01 00:00:00.0000000	5.02			
1603002012018	160300	102978	2	2018-01-01 00:00:00.0000000	40			
1603012022018	160301	103561	2	2018-02-01 00:00:00.0000000	5.18			
1603072012018	160307	103561	2	2018-01-01 00:00:00.0000000	6.62			
1603082012018	160308	102199	2	2018-01-01 00:00:00.0000000	80			
1603092012018	160309	102199	2	2018-01-01 00:00:00.0000000	80			
1603102012018	160310	102199	2	2018-01-01 00:00:00.0000000	80			
1603111022018	160311	103710	1	2018-02-01 00:00:00.0000000	17			1
1603142022018	160314	102199	2	2018-02-01 00:00:00.0000000	40			
1603151022018	160315	103961	1	2018-02-01 00:00:00.0000000	60			1
1603161022018	160316	103829	1	2018-02-01 00:00:00.0000000	54			1
1603231012018	160323	103562	1	2018-01-01 00:00:00.0000000	9			1
1603241012018	160324	103666	1	2018-01-01 00:00:00.0000000	9			1
1603251012018	160325	103744	1	2018-01-01 00:00:00.0000000	9			1
1603261012018	160326	103419	1	2018-01-01 00:00:00.0000000	9			1
1603271012018	160327	103462	1	2018-01-01 00:00:00.0000000	9			1
1603282022018	160328	102199	2	2018-02-01 00:00:00.0000000	10			
1603311012018	160331	103961	1	2018-01-01 00:00:00.0000000	24			1
1603351022018	160335	103613	1	2018-02-01 00:00:00.0000000	30			1
1603361022018	160336	102230	1	2018-02-01 00:00:00.0000000	0.5			1
1603371022018	160337	103915	1	2018-02-01 00:00:00.0000000	0.1			1
1603411032018	160341	102935	1	2018-03-01 00:00:00.0000000	385			1
1603431012018	160343	104371	1	2018-01-01 00:00:00.0000000	30			1
1603441022018	160344	103358	1	2018-02-01 00:00:00.0000000	6			6
1603461122017	160346	103474	1	2017-12-01 00:00:00.0000000	14			1
1603471012018	160347	103474	1	2018-01-01 00:00:00.0000000	14			1
1603481022018	160348	104083	1	2018-02-01 00:00:00.0000000	10			1
1603511032018	160351	102024	1	2018-03-01 00:00:00.0000000	240			1
1603522032018	160352	104094	2	2018-03-01 00:00:00.0000000	0.1			
1603532032018	160353	103561	2	2018-03-01 00:00:00.0000000	7.06			
1603542032018	160354	103438	2	2018-03-01 00:00:00.0000000	22			
1603571032018	160357	103915	1	2018-03-01 00:00:00.0000000	0.125			1
1603581032018	160358	103710	1	2018-03-01 00:00:00.0000000	6			1
1603582032018	160358	103710	2	2018-03-01 00:00:00.0000000	1.425			
1603691042018	160369	103398	1	2018-04-01 00:00:00.0000000	6			1
1603731052018	160373	102024	1	2018-05-01 00:00:00.0000000	420			1
1603741042018	160374	103915	1	2018-04-01 00:00:00.0000000	0.15			1
1603801042018	160380	103562	1	2018-04-01 00:00:00.0000000	9			1
1603832042018	160383	102288	2	2018-04-01 00:00:00.0000000	80			
