1	Carofitas
2	Cianofitas
3	Clorofitas
4	Crisoficeas
5	Diatomeas
6	Dictyocoficeas
7	Dinoflagelados
8	Euglenoficeas
9	Protozoa
10	Xantoficeas
11	Zooplancton
12	Otros
