1	Semilla y Bancos Naturales	<strong>Líneas de Acción de Proyectos:</strong><br/>1) Factores ambientales que impactan la caprtación de semillas.<br/>2) Mejorar el conocimiento de los ciclos reproductivos del chorito.<br/>3) Manejo productivo con bajo impacto para la semilla.	2019-05-10 12:40:46.2976503	/images/forum/seedforum.svg
2	Productivos, Ambientales y Oceanográficos	<strong>Líneas de Acción de Proyectos:</strong><br/>1) Protocolo público privado de mitigación económica y productiva durante FAN.<br/>2) Optimización (tecnología y manejos) en la siembra y engorda de materia prima.<br/>3) Aumento en la capacidad de predicción FAN.	2019-05-10 12:40:46.2982506	/images/forum/productivos-ambientales-oceanograficos.png
3	Integración con el Medio Ambiente	<strong>Líneas de Acción de Proyectos:</strong><br/>1) Generación de conocimiento respecto a certificaciones ambientales y de sustentabilidad.<br/>2) Optimización de la gestión y valorización de los desechos de la industria.<br/>3) Efectos de Cambio Climático sobre la actividad mitilicultora y sus productos.	2019-05-10 12:40:46.2982532	/images/forum/intragecion-medio-ambiente.png
4	Ingeniería y Manejos	<strong>Líneas de Acción de Proyectos:</strong><br/>1) Mejoras a las Estructuras de Cultivo.<br/>2) Exploración de Alternativas de Automatización.<br/>3) Generación de conocimiento sobre sistemas productivas más eficientes.	2019-05-10 12:40:46.2982538	/images/forum/intragecion-medio-ambiente.png
5	Económicos y Sociales	<strong>Líneas de Acción de Proyectos:</strong><br/>1) Investigació que permita incrementar el consumo nacional de Choritos.<br/>2) Investigaciones orientadas a la búsqueda de nuevos mercados.<br/>3) Generar identidad de la comunidad con la industria.	2019-05-10 12:40:46.2982545	/images/forum/economicos-sociales.png
6	Genética, Fisiología y epidemología	<strong>Líneas de Acción de Proyectos:</strong><br/>1) Estudios de factores de riesgo  epidemiológicos en choritos.<br/>2) Mejorar el conocimiento  genético y fisiológico de reproductores que mejoren la calidad de semillas.<br/>3) Selección de rasgos en reproductores que se expresen en  nuevas generaciones de semillas.	2019-05-10 12:40:46.2982563	/images/forum/genetica-fisiologia-epidemologia.png
7	Calidad, Trazabilidad y Seguridad alimentaria	<strong>Líneas de Acción de Proyectos:</strong><br/>1) Estudios de los  atributos nutrionales del mejillón para la salud humana.<br/>2) Mejoras y estandarización de indicadores de calidad de MP.<br/>3) Conocer los hábitos de consumo en grupos de consumidores concretos.	2019-05-10 12:40:46.2982570	/images/forum/calidad-trazabilidad-seguridad-alimentaria.png
